Board Config,Player1 Trials,Player2 Trials,Player1 Win Ratio,Player2 Win Ratio,Draw Ratio
5 5 5 5 5 5,80,80,0.6,0.36,0.04
5 5 5 5 5 5,80,150,0.5,0.5,0.0
5 5 5 5 5 5,80,500,0.34,0.62,0.04
5 5 5 5 5 5,80,2000,0.3,0.69,0.01
5 5 5 5 5 5,150,80,0.6,0.38,0.02
5 5 5 5 5 5,150,150,0.54,0.45,0.01
5 5 5 5 5 5,150,500,0.43,0.53,0.04
5 5 5 5 5 5,150,2000,0.31,0.66,0.03
5 5 5 5 5 5,500,80,0.7,0.26,0.04
5 5 5 5 5 5,500,150,0.74,0.25,0.01
5 5 5 5 5 5,500,500,0.57,0.39,0.04
5 5 5 5 5 5,500,2000,0.39,0.56,0.05
5 5 5 5 5 5,2000,80,0.86,0.13,0.01
5 5 5 5 5 5,2000,150,0.75,0.24,0.01
5 5 5 5 5 5,2000,500,0.71,0.27,0.02
5 5 5 5 5 5,2000,2000,0.52,0.47,0.01
6 7 6 8 7 8 7 6,80,80,0.58,0.42,0.0
6 7 6 8 7 8 7 6,80,150,0.43,0.57,0.0
6 7 6 8 7 8 7 6,80,500,0.33,0.66,0.01
6 7 6 8 7 8 7 6,80,2000,0.2,0.8,0.0
6 7 6 8 7 8 7 6,150,80,0.54,0.46,0.0
6 7 6 8 7 8 7 6,150,150,0.52,0.48,0.0
6 7 6 8 7 8 7 6,150,500,0.45,0.55,0.0
6 7 6 8 7 8 7 6,150,2000,0.31,0.69,0.0
6 7 6 8 7 8 7 6,500,80,0.74,0.26,0.0
6 7 6 8 7 8 7 6,500,150,0.67,0.33,0.0
6 7 6 8 7 8 7 6,500,500,0.43,0.56,0.01
6 7 6 8 7 8 7 6,500,2000,0.39,0.6,0.01
6 7 6 8 7 8 7 6,2000,80,0.7,0.3,0.0
6 7 6 8 7 8 7 6,2000,150,0.6,0.39,0.01
6 7 6 8 7 8 7 6,2000,500,0.55,0.44,0.01
6 7 6 8 7 8 7 6,2000,2000,0.6,0.4,0.0
8 9 8 8 8 7 9 9 8,80,80,0.56,0.43,0.01
8 9 8 8 8 7 9 9 8,80,150,0.48,0.52,0.0
8 9 8 8 8 7 9 9 8,80,500,0.34,0.66,0.0
8 9 8 8 8 7 9 9 8,80,2000,0.38,0.61,0.01
8 9 8 8 8 7 9 9 8,150,80,0.63,0.37,0.0
8 9 8 8 8 7 9 9 8,150,150,0.56,0.44,0.0
8 9 8 8 8 7 9 9 8,150,500,0.54,0.45,0.01
8 9 8 8 8 7 9 9 8,150,2000,0.39,0.61,0.0
8 9 8 8 8 7 9 9 8,500,80,0.74,0.26,0.0
8 9 8 8 8 7 9 9 8,500,150,0.65,0.35,0.0
8 9 8 8 8 7 9 9 8,500,500,0.51,0.48,0.01
8 9 8 8 8 7 9 9 8,500,2000,0.46,0.54,0.0
8 9 8 8 8 7 9 9 8,2000,80,0.8,0.2,0.0
8 9 8 8 8 7 9 9 8,2000,150,0.69,0.31,0.0
8 9 8 8 8 7 9 9 8,2000,500,0.62,0.37,0.01
8 9 8 8 8 7 9 9 8,2000,2000,0.7,0.3,0.0
11 10 10 9 8 10 9 11 7 10 11,80,80,0.53,0.47,0.0
11 10 10 9 8 10 9 11 7 10 11,80,150,0.5,0.5,0.0
11 10 10 9 8 10 9 11 7 10 11,80,500,0.31,0.69,0.0
11 10 10 9 8 10 9 11 7 10 11,80,2000,0.26,0.74,0.0
11 10 10 9 8 10 9 11 7 10 11,150,80,0.68,0.31,0.01
11 10 10 9 8 10 9 11 7 10 11,150,150,0.48,0.52,0.0
11 10 10 9 8 10 9 11 7 10 11,150,500,0.46,0.54,0.0
11 10 10 9 8 10 9 11 7 10 11,150,2000,0.33,0.67,0.0
11 10 10 9 8 10 9 11 7 10 11,500,80,0.85,0.15,0.0
11 10 10 9 8 10 9 11 7 10 11,500,150,0.65,0.35,0.0
11 10 10 9 8 10 9 11 7 10 11,500,500,0.63,0.37,0.0
11 10 10 9 8 10 9 11 7 10 11,500,2000,0.56,0.44,0.0
11 10 10 9 8 10 9 11 7 10 11,2000,80,0.89,0.11,0.0
11 10 10 9 8 10 9 11 7 10 11,2000,150,0.85,0.15,0.0
11 10 10 9 8 10 9 11 7 10 11,2000,500,0.67,0.33,0.0
11 10 10 9 8 10 9 11 7 10 11,2000,2000,0.63,0.37,0.0
